股票代码,股票名,年报日期,净资产收益率(%)
sz301018,申菱环境,20141231,7.4025
sz301020,密封科技,20141231,12.3472
sz301026,浩通科技,20141231,19.5663
sz301028,东亚机械,20141231,22.6263
sz301031,中熔电气,20141231,22.5035
sz301035,润丰股份,20141231,16.0421
sz301041,金百泽,20141231,7.1391
sz301046,能辉科技,20141231,34.9739
sz301060,兰卫医学,20141231,42.3838
sz301067,显盈科技,20141231,32.9344
sz301070,开勒股份,20141231,84.2843
sz301071,力量钻石,20141231,10.7999
sz301073,君亭酒店,20141231,65.8179
sz301076,新瀚新材,20141231,31.7269
sz301077,星华新材,20141231,34.5675
sz301078,孩子王,20141231,-12.9358
sz301082,久盛电气,20141231,24.3963
sz301083,百胜智能,20141231,14.1251
sz301089,拓新药业,20141231,7.5925
sz301097,天益医疗,20141231,21.8062
sz301098,金埔园林,20141231,13.1727
sz301106,骏成科技,20141231,28.8552
sz301107,瑜欣电子,20141231,19.4536
sz301113,雅艺科技,20141231,19.1512
sz301115,建科股份,20141231,16.0162
sz301117,佳缘科技,20141231,7.979
sz301126,达嘉维康,20141231,24.022
sz301127,天源环保,20141231,6.7978
sz301130,西点药业,20141231,24.05
sz301131,聚赛龙,20141231,21.4969
sz301135,瑞德智能,20141231,11.9776
sz301139,元道通信,20141231,16.2476
sz301148,嘉戎技术,20141231,18.2438
sz301149,隆华新材,20141231,10.0345
sz301150,中一科技,20141231,-13.6358
sz301153,中科江南,20141231,78.9324
sz301160,翔楼新材,20141231,29.3075
sz301166,优宁维,20141231,34.2627
sz301168,通灵股份,20141231,20.044
sz301169,零点有数,20141231,57.5555
sz301171,易点天下,20141231,13.9085
sz301178,天亿马,20141231,34.3563
sz301186,超达装备,20141231,15.9577
sz301188,力诺特玻,20141231,20.0811
sz301189,奥尼电子,20141231,-19.4761
sz301191,菲菱科思,20141231,18.0413
sz301197,工大科雅,20141231,26.5904
sz301198,喜悦智行,20141231,96.4384
sz301208,中亦科技,20141231,29.2778
sz301212,联盛化学,20141231,14.7406
sz301218,华是科技,20141231,21.7022
sz301219,腾远钴业,20141231,16.1951
sz301221,光庭信息,20141231,36.5691
sz301222,浙江恒威,20141231,23.614
sz301226,祥明智能,20141231,20.2739
sz301231,荣信文化,20141231,14.3052
sz301233,盛帮股份,20141231,11.5993
sz301248,杰创智能,20141231,8.7237
sz301257,普蕊斯,20141231,58.8065
sz301258,富士莱,20141231,3.3498
sz301265,华新环保,20141231,12.1411
sz301266,宇邦新材,20141231,36.3987
sz301276,嘉曼服饰,20141231,24.5074
sz301280,珠城科技,20141231,15.7726
sz301281,科源制药,20141231,45.4575
sz301286,侨源股份,20141231,12.015
sz301296,新巨丰,20141231,17.3404
sz301298,东利机械,20141231,10.4785
sz301300,远翔新材,20141231,17.4656
sz301302,华如科技,20141231,30.0379
sz301316,慧博云通,20141231,23.9604
sz301318,维海德,20141231,19.4209
sz301322,绿通科技,20141231,9.5464
sz301327,华宝新能,20141231,46.7899
sz301333,诺思格,20141231,44.0642
sz301335,天元宠物,20141231,15.8743
sz301359,东南电子,20141231,13.5062
sz301361,众智科技,20141231,18.3551
sz301373,凌玮科技,20141231,9.1272
sz301380,挖金客,20141231,99.1827
sz301386,未来电器,20141231,12.7332
sz301396,宏景科技,20141231,13.7417
sz301419,阿莱德,20141231,19.1901
sh600906,财达证券,20151231,27.4193
